The 1006 Kyoiku kanji (school classes 1-6), taken from [wikipedia](https://en.wikipedia.org/wiki/Kyōiku_kanji)
飲, level_school(replace):3
館, level_school(replace):3
駅, level_school(replace):3
鼻, level_school(replace):3
不, level_school(replace):4
争, level_school(replace):4
付, level_school(replace):4
令, level_school(replace):4
以, level_school(replace):4
仲, level_school(replace):4
伝, level_school(replace):4
位, level_school(replace):4
低, level_school(replace):4
例, level_school(replace):4
便, level_school(replace):4
信, level_school(replace):4
倉, level_school(replace):4
候, level_school(replace):4
借, level_school(replace):4
停, level_school(replace):4
健, level_school(replace):4
側, level_school(replace):4
働, level_school(replace):4
億, level_school(replace):4
兆, level_school(replace):4
児, level_school(replace):4
共, level_school(replace):4
兵, level_school(replace):4
典, level_school(replace):4
冷, level_school(replace):4
初, level_school(replace):4
別, level_school(replace):4
利, level_school(replace):4
刷, level_school(replace):4
副, level_school(replace):4
功, level_school(replace):4
加, level_school(replace):4
努, level_school(replace):4
労, level_school(replace):4
勇, level_school(replace):4
包, level_school(replace):4
卒, level_school(replace):4
協, level_school(replace):4
単, level_school(replace):4
博, level_school(replace):4
印, level_school(replace):4
参, level_school(replace):4
史, level_school(replace):4
司, level_school(replace):4
各, level_school(replace):4
告, level_school(replace):4
周, level_school(replace):4
唱, level_school(replace):4
喜, level_school(replace):4
器, level_school(replace):4
囲, level_school(replace):4
固, level_school(replace):4
型, level_school(replace):4
堂, level_school(replace):4
塩, level_school(replace):4
士, level_school(replace):4
変, level_school(replace):4
夫, level_school(replace):4
失, level_school(replace):4
好, level_school(replace):4
季, level_school(replace):4
孫, level_school(replace):4
完, level_school(replace):4
官, level_school(replace):4
害, level_school(replace):4
察, level_school(replace):4
巣, level_school(replace):4
差, level_school(replace):4
希, level_school(replace):4
席, level_school(replace):4
帯, level_school(replace):4
底, level_school(replace):4
府, level_school(replace):4
康, level_school(replace):4
建, level_school(replace):4
径, level_school(replace):4
徒, level_school(replace):4
得, level_school(replace):4
必, level_school(replace):4
念, level_school(replace):4
愛, level_school(replace):4
成, level_school(replace):4
戦, level_school(replace):4
折, level_school(replace):4
挙, level_school(replace):4
改, level_school(replace):4
救, level_school(replace):4
敗, level_school(replace):4
散, level_school(replace):4
料, level_school(replace):4
旗, level_school(replace):4
昨, level_school(replace):4
景, level_school(replace):4
最, level_school(replace):4
望, level_school(replace):4
未, level_school(replace):4
末, level_school(replace):4
札, level_school(replace):4
材, level_school(replace):4
束, level_school(replace):4
松, level_school(replace):4
果, level_school(replace):4
栄, level_school(replace):4
案, level_school(replace):4
梅, level_school(replace):4
械, level_school(replace):4
極, level_school(replace):4
標, level_school(replace):4
機, level_school(replace):4
欠, level_school(replace):4
歴, level_school(replace):4
残, level_school(replace):4
殺, level_school(replace):4
毒, level_school(replace):4
氏, level_school(replace):4
民, level_school(replace):4
求, level_school(replace):4
治, level_school(replace):4
法, level_school(replace):4
泣, level_school(replace):4
浅, level_school(replace):4
浴, level_school(replace):4
清, level_school(replace):4
満, level_school(replace):4
漁, level_school(replace):4
灯, level_school(replace):4
無, level_school(replace):4
然, level_school(replace):4
焼, level_school(replace):4
照, level_school(replace):4
熱, level_school(replace):4
牧, level_school(replace):4
特, level_school(replace):4
産, level_school(replace):4
的, level_school(replace):4
省, level_school(replace):4
祝, level_school(replace):4
票, level_school(replace):4
種, level_school(replace):4
積, level_school(replace):4
